,Document Title,Authors,Author Affiliations,Publication Title,Date Added To Xplore,Year,Volume,Issue,Start Page,End Page,Abstract,ISSN,ISBNs,DOI,Funding Information,PDF Link,Author Keywords,IEEE Terms,INSPEC Controlled Terms,INSPEC Non-Controlled Terms,MeSH Terms,Article Citation Count,Patent Citation Count,Reference Count,Copyright Year,License,Online Date,Issue Date,Meeting Date,Publisher,Document Identifier
348,Adaptive smoothing in fMRI data processing neural networks,A. Vilamala; K. H. Madsen; L. K. Hansen,Technical University of Denmark,2017 International Workshop on Pattern Recognition in Neuroimaging (PRNI),20170720.0,2017,,,1,4,"Functional Magnetic Resonance Imaging (fMRI) relies on multi-step data processing pipelines to accurately determine brain activity; among them, the crucial step of spatial smoothing. These pipelines are commonly suboptimal, given the local optimisation strategy they use, treating each step in isolation. With the advent of new tools for deep learning, recent work has proposed to turn these pipelines into end-to-end learning networks. This change of paradigm offers new avenues to improvement as it allows for a global optimisation. The current work aims at benefitting from this paradigm shift by defining a smoothing step as a layer in these networks able to adaptively modulate the degree of smoothing required by each brain volume to better accomplish a given data analysis task. The viability is evaluated on real fMRI data where subjects did alternate between left and right finger tapping tasks.",,Electronic:978-1-5386-3159-1; POD:978-1-5386-3160-7,10.1109/PRNI.2017.7981499,,http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7981499,,Biological neural networks;Correlation;Data processing;Pipelines;Smoothing methods;Standards;Training,biomedical MRI;brain;data analysis;learning (artificial intelligence);medical image processing;neural nets;optimisation,adaptive smoothing;brain volume;data analysis;deep learning;end-to-end learning networks;fMRI data;fMRI data processing;functional magnetic resonance imaging;left finger tapping tasks;local optimisation strategy;multistep data processing pipelines;neural networks;paradigm shift;right finger tapping tasks,,,,,,,,21-23 June 2017,,IEEE,IEEE Conference Publications
349,Deep learning approach for EEG compression in mHealth system,A. Ben Said; A. Mohamed; T. Elfouly,"Computer Science and Engineering Department, Qatar Univrsity 2713, Doha, Qatar",2017 13th International Wireless Communications and Mobile Computing Conference (IWCMC),20170720.0,2017,,,1508,1512,"The emergence of mobile health (mHealth) systems has risen the challenges and concerns due to the sensitivity of the data involved in such systems. It is essential to ensure that these data are well delivered to the health monitoring center for accurate and perfect diagnosis and follow-up. Due to the wireless network constraints, these requirements become more challenging. In this paper, we propose a deep learning approach for EEG data compression in mHealth system. We show that the stacked autoencoder neural network architecture is efficient for EEG data compression. We conduct a comprehensive comparative study that demonstrates the effectiveness of our system for EEG compression in addition to preserving the total energy consumption.",,Electronic:978-1-5090-4372-9; POD:978-1-5090-4373-6,10.1109/IWCMC.2017.7986507,,http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7986507,EEG;compression;mHealth;stacked autoencoder,Data compression;Discrete wavelet transforms;Distortion;Electroencephalography;Image coding;Machine learning;Neural networks,electroencephalography;learning (artificial intelligence);medical signal processing;mobile computing;neural nets;patient monitoring,EEG data compression;deep learning approach;health monitoring center;mHealth system;mobile health systems;patient diagnosis;stacked autoencoder neural network architecture;wireless network constraints,,,,,,,,26-30 June 2017,,IEEE,IEEE Conference Publications
350,Automating Papanicolaou Test Using Deep Convolutional Activation Feature,J. Hyeon; H. J. Choi; K. N. Lee; B. D. Lee,"Sch. of Comput., KAIST, Daejeon, South Korea",2017 18th IEEE International Conference on Mobile Data Management (MDM),20170703.0,2017,,,382,385,"Cervical cancer is the women's fourth most common cancer worldwide, with 266,000 deaths in a year. Cervical cancer can be diagnosed by the Papanicolaou test. In this test, a cytopathologist observes a microscopic image of the cervix cells and decides whether the patient is abnormal or not. According to research, the accuracy of the cervical cytology is reported as 89.7%. Because it is associated with the patient's life, it is important to improve the accuracy of this test. Many systems have been proposed to help judge experts to improve the accuracy of tests in the medical field, but development has been limited to areas where there are cleanly quantified test data. In this paper, we design and train a model to automatically classify the normal/abnormal state of cervical cells from microscopic images by using a convolutional neural network and several machine learning classifiers. As a result, the support vector machine achieves the highest performance with 78% F1 score.",,Electronic:978-1-5386-3932-0; POD:978-1-5386-3933-7,10.1109/MDM.2017.66,,http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7962484,Cervical Cancer;Cervical Cancer Screening Test;Convolutional Neural Network;Deep Convolutional Activation Feature;Papanicolaou Test,Biological neural networks;Cervical cancer;Feature extraction;Microscopy;Support vector machines,biomedical optical imaging;cancer;cellular biophysics;feedforward neural nets;image classification;learning (artificial intelligence);medical image processing;microscopes;support vector machines,F1 score;Papanicolaou test automation;automatic abnormal state classification;automatic normal state classification;cervical cancer;cervical cytology;cervix cells;convolutional neural network;deep convolutional activation feature;machine learning classifiers;medical field;microscopic image;support vector machine,,,,,,,,May 29 2017-June 1 2017,,IEEE,IEEE Conference Publications
351,Deep learning of texture and structural features for multiclass Alzheimer's disease classification,C. V. Dolph; M. Alam; Z. Shboul; M. D. Samad; K. M. Iftekharuddin,"Vision Lab at Department of Electrical and Computer Engineering, Old Dominion University, Norfolk, VA 23529",2017 International Joint Conference on Neural Networks (IJCNN),20170703.0,2017,,,2259,2266,"This work proposes multiclass deep learning classification of Alzheimer's disease (AD) using novel texture and other associated features extracted from structural MRI. Two distinct learning models (Model 1 and 2) are presented where both include subcortical area specific feature extraction, feature selection and stacked auto-encoder (SAE) deep neural network (DNN). The models learn highly complex and subtle differences in spatial atrophy patterns using white matter volumes, gray matter volumes, cortical surface area, cortical thickness, and different types of Fractal Brownian Motion co-occurrence matrices for texture as features to classify AD from cognitive normal (CN) and mild cognitive impairment (MCI) in dementia patients. A five layer SAE with state-of-the-art dropout learning is trained on a publicly available ADNI dataset and the model performances are evaluated at two levels: one using in-house tenfold cross validation and another using the publicly available CADDementia competition. The in-house evaluations of our two models achieve 56.6% and 58.0% tenfold cross validation accuracies using 504 ADNI subjects. For the public domain evaluation, we are the first to report DNN to CADDementia and our methods yield competitive classification accuracies of 51.4% and 56.8%. Further, both of our proposed models offer higher True Positive Fraction (TPF) for AD class when compared to the top-overall ranked algorithm while Model 1 also ties for top diseased class sensitivity at 58.2% in the CADDementia challenge. Finally, Model 2 achieves strong disease class sensitivity with improvement in specificity and overall accuracy. Our algorithms have the potential to provide a rapid, objective, and non-invasive assessment of AD.",,Electronic:978-1-5090-6182-2; POD:978-1-5090-6183-9,10.1109/IJCNN.2017.7966129,,http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7966129,ADNI;Alzheimer's disease;biomarkers;deep learning;dropout learning;hippocampus;neuroimaging classification,Brain modeling;Computational modeling;Diseases;Feature extraction;Machine learning;Magnetic resonance imaging;Sensitivity,biomedical MRI;feature extraction;feature selection;image classification;image texture;matrix algebra;medical image processing;neural nets,CADDementia competition;SAE deep neural network;cognitive normal;cortical surface area;cortical thickness;feature selection;fractal Brownian motion co-occurrence matrices;gray matter volumes;magnetic resonance imaging;mild cognitive impairment;multiclass Alzheimer's disease classification;multiclass deep learning classification;stacked auto-encoder;structural MRI;structural feature;subcortical area specific feature extraction;texture feature;true positive fraction;white matter volumes,,,,,,,,14-19 May 2017,,IEEE,IEEE Conference Publications
352,"Fusing Deep Learned and Hand-Crafted Features of Appearance, Shape, and Dynamics for Automatic Pain Estimation",J. Egede; M. Valstar; B. Martinez,"Sch. of Comput. Sci., Univ. of Nottingham, Ningbo, China",2017 12th IEEE International Conference on Automatic Face & Gesture Recognition (FG 2017),20170629.0,2017,,,689,696,"Automatic continuous time, continuous value assessment of a patient's pain from face video is highly sought after by the medical profession. Despite the recent advances in deep learning that attain impressive results in many domains, pain estimation risks not being able to benefit from this due to the difficulty in obtaining data sets of considerable size. In this work we propose a combination of hand-crafted and deep-learned features that makes the most of deep learning techniques in small sample settings. Encoding shape, appearance, and dynamics, our method significantly outperforms the current state of the art, attaining a RMSE error of less than 1 point on a 16-level pain scale, whilst simultaneously scoring a 67.3% Pearson correlation coefficient between our predicted pain level time series and the ground truth.",,Electronic:978-1-5090-4023-0; POD:978-1-5090-4024-7,10.1109/FG.2017.87,,http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7961808,,Estimation;Face;Feature extraction;Machine learning;Pain;Physiology;Shape,learning (artificial intelligence);mean square error methods;medical image processing;pose estimation;time series;video coding,RMSE error;automatic pain estimation;deep learning;deep-learned features;face video;hand-crafted features;medical diagnosis;shape encoding;time series,,,,,,,,May 30 2017-June 3 2017,,IEEE,IEEE Conference Publications
353,Cells classification with deep learning,A. Sezer; U. Çekmez,"Bilgisayar M&#x00FC;hendisligi B&#x00F6;l&#x00FC;m&#x00FC;, Y&#x0131;ld&#x0131;z Teknik &#x00DC;niversitesi, 34220 Istanbul, T&#x00FC;rkiye",2017 25th Signal Processing and Communications Applications Conference (SIU),20170629.0,2017,,,1,4,"Proteomic analysis is a rapidly developing research field that has recently been used in the diagnosis and treatment of various diseases by analyzing the structure and functions of protein patterns in the cell. Numerous computer based decision support mechanisms implemented in this context have mostly used special image processing techniques until now. Recently, high performance self-learning deep learning methods have taken place in the classification studies over the conventional methods examining the structural features of the patterns, shapes and the texture properties in the images. In this study, different intracellular patterns of HeLa cells taken by the microscope used in the testing of pattern analysis and the output is compared by classifying these patterns by using both deep learning methods and bag-of-features method. As a result of the experiments, it is seen that the success of the proposed deep learning model has a very high performance in classifying compared to the existing models and bag-of-features technique.",,Electronic:978-1-5090-6494-6; POD:978-1-5090-6495-3,10.1109/SIU.2017.7960647,,http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7960647,classification;convolutional deep neural networks;deep learning;genome;protein;proteomic analysis,Bioinformatics;Dogs;Genomics;Machine learning;Neural networks;Pattern recognition;Proteins,cellular biophysics;diseases;image classification;image texture;learning (artificial intelligence);medical image processing;patient diagnosis;patient treatment;proteins,HeLa cell intracellular patterns;cell classification;computer-based decision support mechanisms;high-performance self-learning deep learning;image processing;pattern structural features;proteomic analysis;texture properties,,,,,,,,15-18 May 2017,,IEEE,IEEE Conference Publications
354,Deep neural network based diagnosis system for melanoma skin cancer,A. Baştürk; M. E. Yüksei; H. Badem; A. Çalışkan,"Bilgisayar M&#x00FC;hendisli&#x011F;i B&#x00F6;l&#x00FC;m&#x00FC;, Erciyes &#x00DC;niversitesi, Kayseri",2017 25th Signal Processing and Communications Applications Conference (SIU),20170629.0,2017,,,1,4,"Melanoma is a serious cancer that causes many people to lose their lives. This disease can be diagnosed by a dermatologist as a result of interpretation of the dermoscopy images by the ABCD rule. In this study, a deep neural network (DNN) is used as a new method for diagnosis of melanoma skin cancer. This method is compared with the-state-art-methods in literature. According to the obtained results, DNN was more successful than the comparative methods.",,Electronic:978-1-5090-6494-6; POD:978-1-5090-6495-3,10.1109/SIU.2017.7960563,,http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7960563,ABCD rule;deep learning;deep neural network;melanoma,Cancer;Dogs;Lesions;Malignant tumors;Neural networks;Niobium;Support vector machines,cancer;medical diagnostic computing;neural nets;skin,ABCD rule;DNN;deep neural network based diagnosis system;dermoscopy images;melanoma skin cancer,,,,,,,,15-18 May 2017,,IEEE,IEEE Conference Publications
355,Automatic Quantification of Tumour Hypoxia From Multi-Modal Microscopy Images Using Weakly-Supervised Learning Methods,G. Carneiro; T. Peng; C. Bayer; N. Navab,"Australian Centre for Visual Technologies, University of Adelaide, Adelaide, SA, Australia",IEEE Transactions on Medical Imaging,20170628.0,2017,36,7.0,1405,1417,"In recently published clinical trial results, hypoxia-modified therapies have shown to provide more positive outcomes to cancer patients, compared with standard cancer treatments. The development and validation of these hypoxia-modified therapies depend on an effective way of measuring tumor hypoxia, but a standardized measurement is currently unavailable in clinical practice. Different types of manual measurements have been proposed in clinical research, but in this paper we focus on a recently published approach that quantifies the number and proportion of hypoxic regions using high resolution (immuno-)fluorescence (IF) and hematoxylin and eosin (HE) stained images of a histological specimen of a tumor. We introduce new machine learning-based methodologies to automate this measurement, where the main challenge is the fact that the clinical annotations available for training the proposed methodologies consist of the total number of normoxic, chronically hypoxic, and acutely hypoxic regions without any indication of their location in the image. Therefore, this represents a weakly-supervised structured output classification problem, where training is based on a high-order loss function formed by the norm of the difference between the manual and estimated annotations mentioned above. We propose four methodologies to solve this problem: 1) a naive method that uses a majority classifier applied on the nodes of a fixed grid placed over the input images; 2) a baseline method based on a structured output learning formulation that relies on a fixed grid placed over the input images; 3) an extension to this baseline based on a latent structured output learning formulation that uses a graph that is flexible in terms of the amount and positions of nodes; and 4) a pixel-wise labeling based on a fully-convolutional neural network. Using a data set of 89 weakly annotated pairs of IF and HE images from eight tumors, we show that the quantitativ- results of methods (3) and (4) above are equally competitive and superior to the naive (1) and baseline (2) methods. All proposed methodologies show high correlation values with respect to the clinical annotations.",0278-0062;02780062,,10.1109/TMI.2017.2677479,10.13039/100005156 - Alexander von Humboldt Foundation for the Fellowship for Experienced Researchers; 10.13039/100005156 - Alexander von Humboldt Foundation for the Fellowship for Postdoctoral Researchers; 10.13039/501100000923 - Australian Research Council¿¿¿s Discovery Projects funding scheme; ,http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7869416,Microscopy;deep learning;high-order loss functions;structured output learning;weakly-supervised training,Biomedical imaging;Cancer;Computational modeling;Manuals;Medical treatment;Training;Tumors,biomedical optical imaging;cancer;fluorescence;image classification;learning (artificial intelligence);medical image processing;neural nets;optical microscopy;tumours,HE images;IF images;acutely hypoxic regions;automatic quantification;baseline method;cancer patients;chronically hypoxic regions;clinical annotations;estimated annotations;fixed grid;fully-convolutional neural network;hematoxylin and eosin stained images;high resolution immunofluorescence images;high-order loss function;histological specimen;hypoxia-modified therapies;input images;latent structured output learning formulation;machine learning-based methodologies;majority classifier;manual annotations;multimodal microscopy images;naive method;normoxic regions;pixel-wise labeling;standard cancer treatments;standardized measurement;tumor hypoxia;tumour hypoxia;weakly-supervised learning methods;weakly-supervised structured output classification problem,,,,,,,20170302.0,July 2017,,IEEE,IEEE Journals & Magazines
356,Nuclei segmentation in histopathology images using deep neural networks,P. Naylor; M. Laé; F. Reyal; T. Walter,"MINES ParisTech, PSL Research University, CBIO - Centre de Bioinformatique, 77300 Fontainebleau, France",2017 IEEE 14th International Symposium on Biomedical Imaging (ISBI 2017),20170619.0,2017,,,933,936,"Analysis and interpretation of stained tumor sections is one of the main tools in cancer diagnosis and prognosis, which is mainly carried out manually by pathologists. The avent of digital pathology provides us with the challenging opportunity to automatically analyze large amounts of these complex image data in order to draw biological conclusions from them and to study cellular and tissular phenotypes at a large scale. One of the bottlenecks for such approaches is the automatic segmentation of cell nuclei from this type of image data. Here, we present a fully automated workflow to segment nuclei from histopathology image data by using deep neural networks trained from a set of manually annotated images and by processing the posterior probability maps in order to split jointly segmented nuclei. Further, we provide the image data set that has been generated for this study as a benchmark set to the scientific community.",,Electronic:978-1-5090-1172-8; POD:978-1-5090-1173-5,10.1109/ISBI.2017.7950669,,http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7950669,Breast Cancer;Cellular Phenotyping;Convolutional Neural Networks;Deep Learning;Digital Pathology;Histopathology;Nuclei Segmentation,Cancer;Computer architecture;Image segmentation;Machine learning;Microprocessors;Neural networks;Semantics,biomedical optical imaging;cancer;cellular biophysics;image segmentation;medical image processing;neural nets;probability;tumours,automatic segmentation;cancer diagnosis;cancer prognosis;cell nuclei;cellular phenotypes;complex image data;deep neural networks;digital pathology;fully automated workflow;histopathology image data;image data set;manually annotated images;nuclei segmentation;pathologists;posterior probability maps;scientific community;split jointly segmented nuclei;stained tumor sections;tissular phenotypes,,,,,,,,18-21 April 2017,,IEEE,IEEE Conference Publications
357,Deep learning-based assessment of tumor-associated stroma for diagnosing breast cancer in histopathology images,B. Ehteshami Bejnordi; J. Lin; B. Glass; M. Mullooly; G. L. Gierach; M. E. Sherman; N. Karssemeijer; J. van der Laak; A. H. Beck,"Diagnostic Image Analysis Group, Radboud University Medical Center, Nijmegen, Netherlands",2017 IEEE 14th International Symposium on Biomedical Imaging (ISBI 2017),20170619.0,2017,,,929,932,"Diagnosis of breast carcinomas has so far been limited to the morphological interpretation of epithelial cells and the assessment of epithelial tissue architecture. Consequently, most of the automated systems have focused on characterizing the epithelial regions of the breast to detect cancer. In this paper, we propose a system for classification of hematoxylin and eosin (H&E) stained breast specimens based on convolutional neural networks that primarily targets the assessment of tumor-associated stroma to diagnose breast cancer patients. We evaluate the performance of our proposed system using a large cohort containing 646 breast tissue biopsies. Our evaluations show that the proposed system achieves an area under ROC of 0.92, demonstrating the discriminative power of previously neglected tumor associated stroma as a diagnostic biomarker.",,Electronic:978-1-5090-1172-8; POD:978-1-5090-1173-5,10.1109/ISBI.2017.7950668,,http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7950668,Breast Cancer;Convolutional Neural Networks;Digital pathology;Tumor Associated Stroma,Breast cancer;Feature extraction;Training;Tumors,biomedical optical imaging;cancer;cellular biophysics;learning (artificial intelligence);mammography;medical image processing;patient diagnosis;tumours,breast cancer diagnosis;breast carcinomas diagnosis;breast tissue biopsies;convolutional neural networks;deep learning-based assessment;epithelial cells;epithelial regions;epithelial tissue architecture;hematoxyli-and-eosin stained breast specimens;histopathology images;tumor-associated stroma,,,,,,,,18-21 April 2017,,IEEE,IEEE Conference Publications
358,Multi-stage segmentation of the fovea in retinal fundus images using fully Convolutional Neural Networks,S. Sedai; R. Tennakoon; P. Roy; K. Cao; R. Garnavi,"IBM Research - Australia, Melbourne, VIC, Australia",2017 IEEE 14th International Symposium on Biomedical Imaging (ISBI 2017),20170619.0,2017,,,1083,1086,"The fovea is one of the most important anatomical landmarks in the eye and its localization is required in automated analysis of retinal diseases due to its role in sharp central vision. In this paper, we propose a two-stage deep learning framework for accurate segmentation of the fovea in retinal colour fundus images. In the first stage, coarse segmentation is performed to localize the fovea in the fundus image. The location information from the first stage is then used to perform fine-grained segmentation of the fovea region in the second stage. The proposed method performs end-to-end pixelwise segmentation by creating a deep learning model based on fully convolutional neural networks, which does not require the prior knowledge of the location of other retinal structures such as optic disc (OD) and vasculature geometry. We demonstrate the effectiveness of our method on a dataset with 400 retinal images with average localization error of 14 ± 7 pixels.",,Electronic:978-1-5090-1172-8; POD:978-1-5090-1173-5,10.1109/ISBI.2017.7950704,,http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7950704,Convolution neural network;Fovea Segmentation;Retinal Imaging,Convolution;Image segmentation;Machine learning;Neural networks;Optical imaging;Retina;Training,biomedical optical imaging;eye;image segmentation;medical image processing;neural nets,end-to-end pixelwise segmentation;fovea;fully convolutional neural networks;multistage segmentation;optic disc;retinal colour fundus images;retinal structures;two-stage deep learning framework;vasculature geometry,,,,,,,,18-21 April 2017,,IEEE,IEEE Conference Publications
359,Wide residual networks for mitosis detection,E. Zerhouni; D. Lányi; M. Viana; M. Gabrani,"IBM Research Zurich, S&#x00E4;umerstrasse 4, 8803 R&#x00FC;schlikon, Switzerland",2017 IEEE 14th International Symposium on Biomedical Imaging (ISBI 2017),20170619.0,2017,,,924,928,"One of the most important prognostic markers to assess proliferation activity of breast tumors is estimating the number of mitotic figures in H&E stained tissue. We propose the use of a recently published convolutional neural network architecture, Wide Residual Networks, for mitosis detection in breast histology images. The model is trained to classify each pixel of on an image using as context a patch centered on the pixel. We apply post-processing on the network output in order to filter out noise and select true mitosis. Finally, we combine the output of several networks using majority vote. Our approach ranked 2nd in the MICCAI TUPAC 2016 competition for mitosis detection, outperforming most other contestants by a significant margin.",,Electronic:978-1-5090-1172-8; POD:978-1-5090-1173-5,10.1109/ISBI.2017.7950667,,http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7950667,Mitotic activity;convolutional network;deep learning;tumor proliferation;wide-residual network,Image processing;Machine learning;Neural networks;Pathology;Shape;Testing;Training,cellular biophysics;diagnostic radiography;image classification;image filtering;mammography;medical image processing;neural nets;tumours,breast histology images;breast tumors;convolutional neural network architecture;hematoxylin-and-eosin-stained-tissue;image classification;image filtering;mitosis detection;mitotic figures;proliferation activity;wide residual networks,,,,,,,,18-21 April 2017,,IEEE,IEEE Conference Publications
360,Epithelium-stroma classification in histopathological images via convolutional neural networks and self-taught learning,Y. Huang; H. Zheng; C. Liu; G. Rohde; D. Zeng; J. Wang; X. Ding,"School of Information Science and Engineering, Xiamen University, 361005, China","2017 IEEE International Conference on Acoustics, Speech and Signal Processing (ICASSP)",20170619.0,2017,,,1073,1077,"Epithelium-stroma classification is always considered as an important preprocessing step for morphological quantitative analysis in image-based histological researches of oncologic diseases. However, large-scale accurate ground-truth labeling is expensive in histopathological image analysis, thus the classification performances will still be limited with the insufficient labeled training samples. Considering that acquisition of public unlabeled histopathological images is much cheaper, an epithelium-stroma classification framework is developed, based on the deep convolutional neural network framework and the strategies of self-taught learning. The method has the ability of taking advantage of large-scale unlabeled public histopathological data as auxiliary data, and then transferring the knowledge to enhance the performances in epithelium-stroma classification with limited labeled training data. The experiments demonstrate that the proposed method outperforms traditional CNNs when the labeled training data size is decreasing dramatically.",,Electronic:978-1-5090-4117-6; POD:978-1-5090-4118-3; USB:978-1-5090-4116-9,10.1109/ICASSP.2017.7952321,,http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7952321,convolutional neural networks;epithelium-stroma classification;histopathological image analysis;self-taught learning;transfer learning,Dictionaries;Feature extraction;Kernel;Neural networks;Testing;Training;Training data,diseases;image classification;medical image processing;neural nets;tumours,auxiliary data;convolutional neural networks;deep convolutional neural network framework;epithelium-stroma classification framework;histopathological image analysis;image-based histological researches;labeled training data size;large-scale accurate ground-truth labeling;large-scale unlabeled public histopathological data;morphological quantitative analysis;oncologic diseases;public unlabeled histopathological images;self-taught learning,,,,,,,,5-9 March 2017,,IEEE,IEEE Conference Publications
361,Disease grading of heterogeneous tissue using convolutional autoencoder,E. Zerhouni; B. Prisacari; Q. Zhong; P. Wild; M. Gabrani,"IBM Research-Z&#x00FC;rich, Saeumerstrasse 4, 8803 Rueschlikon, Switzerland",2017 IEEE 14th International Symposium on Biomedical Imaging (ISBI 2017),20170619.0,2017,,,596,599,"One of the main challenges of histological image analysis is the high dimensionality of the images. This can be addressed via summarizing techniques or feature engineering. However, such approaches can limit the performance of subsequent machine learning models, particularly when dealing with highly heterogeneous tissue samples. One possible alternative is to employ unsupervised learning to determine the most relevant features automatically. In this paper, we propose a method of generating representative image signatures that are robust to tissue heterogeneity. At the core of our approach lies a novel deep-learning based mechanism to simultaneously produce representative image features as well as perform dictionary learning to further reduce dimensionality. By integrating this mechanism in a broader framework for disease grading, we show significant improvement in terms of grading accuracy compared to alternative local feature extraction methods.",,Electronic:978-1-5090-1172-8; POD:978-1-5090-1173-5,10.1109/ISBI.2017.7950591,,http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7950591,Convolutional Autoencoder;Dimensionality Reduction;Image Description;Tissue Heterogeneity,Dictionaries;Diseases;Feature extraction;Image color analysis;Image reconstruction;Morphology;Training,biological tissues;convolutional codes;diseases;feature extraction;image coding;learning (artificial intelligence);medical image processing,convolutional autoencoder;deep-learning;dictionary learning;disease grading;feature engineering;feature extraction;heterogeneous tissue;histological image analysis;image features;machine learning;tissue heterogeneity;unsupervised learning,,,,,,,,18-21 April 2017,,IEEE,IEEE Conference Publications
362,Deep learning based multi-label classification for surgical tool presence detection in laparoscopic videos,S. Wang; A. Raju; J. Huang,"The University of Texas at Arlington, Dept. of Computer Science and Engineering, USA",2017 IEEE 14th International Symposium on Biomedical Imaging (ISBI 2017),20170619.0,2017,,,620,623,"Automatic recognition of surgical workflow is an unresolved problem among the community of computer-assisted interventions. Among all the features used for surgical workflow recognition, one important feature is the presence of the surgical tools. Extracting this feature leads to the surgical tool presence detection problem to detect what tools are used at each time in surgery. This paper proposes a deep learning based multi-label classification method for surgical tool presence detection in laparoscopic videos. The proposed method combines two state-of-the-art deep neural networks and uses ensemble learning to solve the tool presence detection problem as a multi-label classification problem. The performance of the proposed method has been evaluated in the surgical tool presence detection challenge held by Modeling and Monitoring of Computer Assisted Interventions workshop. The proposed method shows superior performance compared to other methods and has won the first place of the challenge.",,Electronic:978-1-5090-1172-8; POD:978-1-5090-1173-5,10.1109/ISBI.2017.7950597,,http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7950597,Deep learning;Ensemble;Multi-label classification;Surgical tool detection,Machine learning;Neural networks;Surgery;Testing;Tools;Training;Videos,image classification;learning (artificial intelligence);medical image processing;neural nets;surgery,automatic surgical workflow recognition;computer-assisted intervention;deep learning-based multilabel classification;deep neural networks;ensemble learning;laparoscopic video;surgical tool presence detection,,,,,,,,18-21 April 2017,,IEEE,IEEE Conference Publications
363,A fully automatic deep learning method for atrial scarring segmentation from late gadolinium-enhanced MRI images,G. Yang; X. Zhuang; H. Khan; S. Haldar; E. Nyktari; X. Ye; G. Slabaugh; T. Wong; R. Mohiaddin; J. Keegan; D. Firmin,"Cardiovascular Biomedical Research Unit, Royal Brompton Hospital, SW3 6NP, London, UK",2017 IEEE 14th International Symposium on Biomedical Imaging (ISBI 2017),20170619.0,2017,,,844,848,"Precise and objective segmentation of atrial scarring (SAS) is a prerequisite for quantitative assessment of atrial fibrillation using non-invasive late gadolinium-enhanced (LGE) MRI. This also requires accurate delineation of the left atrium (LA) and pulmonary veins (PVs) geometry. Most previous studies have relied on manual segmentation of LA wall and PVs, which is a tedious and error-prone procedure with limited reproducibility. There are many attempts on automatic SAS using simple thresholding, histogram analysis, clustering and graph-cut based approaches; however, in general, these methods are considered as unsupervised learning thus subject to limited segmentation accuracy. In this study, we present a fully-automated multi-atlas based whole heart segmentation method to derive the LA and PVs geometry objectively that is followed by a fully automatic deep learning method for SAS. Our deep learning method consists of a feature extraction step via super-pixel over-segmentation and a supervised classification step via stacked sparse auto-encoders. We demonstrate the efficacy of our method on 20 clinical LGE MRI scans acquired from a longstanding persistent atrial fibrillation cohort. Both quantitative and qualitative results show that our fully automatic method obtained accurate segmentation results compared to the manual segmentation based ground truths.",,Electronic:978-1-5090-1172-8; POD:978-1-5090-1173-5,10.1109/ISBI.2017.7950649,,http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7950649,,Feature extraction;Geometry;Image segmentation;Magnetic resonance imaging;Manuals;Myocardium;Synthetic aperture sonar,biomedical MRI;blood vessels;cardiology;feature extraction;image classification;image segmentation;learning (artificial intelligence);medical image processing,atrial fibrillation;atrial scarring segmentation;clustering approach;feature extraction step;fully automatic deep learning method;fully-automated multiatlas based whole heart segmentation method;graph-cut based approach;histogram analysis;late gadolinium-enhanced MRI images;left atrium;pulmonary veins;simple thresholding;stacked sparse autoencoders;super-pixel over-segmentation;supervised classification step;unsupervised learning,,,,,,,,18-21 April 2017,,IEEE,IEEE Conference Publications
